website,link,price_crawled,price_DOP,title,rooms,bathrooms,location_crawled,sector,province,condition,current_use,square_footage,floor,elevator,buildable,construction_year,amenities,amount_amenities,image_link
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1295764/,"US$ 1,350/Mes",76616.685,Piantini,1.0,2.0,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,71,6,2,No,N/D,Agua Potable-Area de Juegos Infantiles-Ascensor-Balc�n-Cisterna-Control de Acceso-Gimnasio-Lobby-Piscina-Planta El�ctrica-Pozo-Seguridad 24 Horas-Terraza-Walk In Closet,14,https://img.supercasas.com/AdsPhotos/800x600/0/8964857.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1295764/,"US$ 1,350/Mes",76616.685,Piantini,1.0,2.0,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,71,6,2,No,N/D,Agua Potable-Area de Juegos Infantiles-Ascensor-Balc�n-Cisterna-Control de Acceso-Gimnasio-Lobby-Piscina-Planta El�ctrica-Pozo-Seguridad 24 Horas-Terraza-Walk In Closet,14,https://img.supercasas.com/AdsPhotos/800x600/0/8964854.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-piantini/1300082/,"US$ 2,500/Mes",141882.75,Piantini,2.0,2.5,"Piantini, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,145,3,1,No,N/D,1/2 Ba�o-Area Servicio Independiente-Ascensor-Cisterna-Cuarto de Servicio-Gimnasio-Inversor-Jacuzzi-Lobby-Planta El�ctrica-Pozo-Seguridad 24 Horas,12,https://img.supercasas.com/AdsPhotos/800x600/0/9010642.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-republica-de-colombia/1302215/,"RD$ 30,000/Mes",30000,Republica de Colombia,3.0,2.5,"Republica de Colombia, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,135,2,0,No,2023,1/2 Ba�o-Agua Potable-Area de Juegos Infantiles-Balc�n-Cisterna-Control de Acceso-Cuarto de Servicio-Seguridad 24 Horas-Walk In Closet,9,https://img.supercasas.com/AdsPhotos/800x600/0/9031829.jpg
supercasas,https://www.supercasas.com/apartamentos-venta-y-alquiler-serralles/1286102/,"US$ 2,500/Mes",141882.75,Serralles,3.0,2.5,"Serralles, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,180,5,1,S�,N/D,Ascensor-Balc�n-Cisterna-Control de Acceso-Cuarto de Servicio-Estar Familiar-Inversor-Lobby-Planta El�ctrica-Pozo-Seguridad 24 Horas,11,https://img.supercasas.com/AdsPhotos/800x600/0/8862058.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-bella-vista/1299646/,"US$ 2,000/Mes",113506.2,Bella vista,3.0,2.5,"Bella vista, Santiago, Santiago de los Caballeros ",Santiago,Santiago de los Caballeros ,Segundo Uso,Residencial,0,4,1,No,N/D,1/2 Ba�o-Agua Potable-Aire Acondicionado-Ascensor-Balc�n-Cisterna-Control de Acceso-Cuarto de Servicio-Gazebo-Gimnasio-Seguridad 24 Horas,11,https://img.supercasas.com/AdsPhotos/800x600/0/9006009.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-evaristo-morales/1303014/,US$ 900/Mes,51077.79,Evaristo Morales,1.0,1.5,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,0,0,0,No,N/D,Agua Potable-Aire Acondicionado-Balc�n-Cisterna-Terraza,5,https://img.supercasas.com/AdsPhotos/800x600/0/9050738.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-naco/1251943/,"US$ 1,200/Mes",68103.72,Naco,1.0,2.0,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,70,10,3,No,2021,Agua Potable-Aire Acondicionado-Ascensor-Balc�n-Cisterna-Control de Acceso-Estudio-Gimnasio-Lobby-Piscina-Planta El�ctrica-Pozo-Seguridad 24 Horas-Terraza,14,https://img.supercasas.com/AdsPhotos/800x600/0/8500708.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-costa-azul/1303199/,"US$ 1,100/Mes",62428.41,Costa Azul,2.0,2.0,"Costa Azul, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,0,0,1,No,N/D,Ascensor-Balc�n-Lobby-Planta El�ctrica,4,https://img.supercasas.com/AdsPhotos/800x600/0/9042433.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-la-esperilla/1303921/,"US$ 1,100/Mes",62428.41,La Esperilla,3.0,2.5,"La Esperilla, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,200,1,0,No,N/D,1/2 Ba�o-Agua Potable-Area Servicio Independiente-Balc�n-Cisterna-Control de Acceso-Cuarto de Servicio-Patio-Seguridad 24 Horas-Vestidores-Walk In Closet,11,https://img.supercasas.com/AdsPhotos/800x600/0/9050633.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-bella-vista/1299646/,"US$ 2,000/Mes",113506.2,Bella vista,3.0,2.5,"Bella vista, Santiago, Santiago de los Caballeros ",Santiago,Santiago de los Caballeros ,Segundo Uso,Residencial,0,4,1,No,N/D,1/2 Ba�o-Agua Potable-Aire Acondicionado-Ascensor-Balc�n-Cisterna-Control de Acceso-Cuarto de Servicio-Gazebo-Gimnasio-Seguridad 24 Horas,11,https://img.supercasas.com/AdsPhotos/800x600/0/9006007.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-evaristo-morales/1302995/,"US$ 1,300/Mes",73779.03,Evaristo Morales,3.0,2.5,"Evaristo Morales, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,130,3,0,No,N/D,Agua Potable-Aire Acondicionado,2,https://img.supercasas.com/AdsPhotos/800x600/0/9040377.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-naco/1303081/,"US$ 1,200/Mes",68103.72,Naco,2.0,2.5,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,163,2,1,No,N/D,Agua Potable-Ascensor-Balc�n-Cisterna-Control de Acceso-Cuarto de Servicio-Estudio-Gazebo-Planta El�ctrica,9,https://img.supercasas.com/AdsPhotos/800x600/0/9041267.jpg
supercasas,https://www.supercasas.com/penthouse-alquiler-bella-vista-sur/1290691/,"US$ 1,800/Mes",102155.58,Bella Vista Sur ,4.0,4.5,"Bella Vista Sur , Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,325,8,1,No,2011,1/2 Ba�o-Agua Potable-Aire Acondicionado-Ascensor-Balc�n-Cisterna-Control de Acceso-Cuarto de Servicio-Estar Familiar-Lobby-Planta El�ctrica-Pozo-Seguridad 24 Horas-Terraza-Walk In Closet,15,https://img.supercasas.com/AdsPhotos/800x600/0/8911136.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-naco/1251943/,"US$ 1,200/Mes",68103.72,Naco,1.0,2.0,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,70,10,3,No,2021,Agua Potable-Aire Acondicionado-Ascensor-Balc�n-Cisterna-Control de Acceso-Estudio-Gimnasio-Lobby-Piscina-Planta El�ctrica-Pozo-Seguridad 24 Horas-Terraza,14,https://img.supercasas.com/AdsPhotos/800x600/0/8500697.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-republica-de-colombia/1302215/,"RD$ 30,000/Mes",30000,Republica de Colombia,3.0,2.5,"Republica de Colombia, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Nueva,Residencial,135,2,0,No,2023,1/2 Ba�o-Agua Potable-Area de Juegos Infantiles-Balc�n-Cisterna-Control de Acceso-Cuarto de Servicio-Seguridad 24 Horas-Walk In Closet,9,https://img.supercasas.com/AdsPhotos/800x600/0/9031831.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-urbanizacion-fernandez/1303765/,"US$ 1,600/Mes",90804.96,Urbanizaci�n Fern�ndez ,3.0,2.5,"Urbanizaci�n Fern�ndez , Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,147,3,2,No,N/D,Agua Potable-Ascensor-Balc�n-Cisterna-Planta El�ctrica-Pozo-Seguridad 24 Horas-Terraza,8,https://img.supercasas.com/AdsPhotos/800x600/0/9048627.jpg
supercasas,https://www.supercasas.com/apartamentos-alquiler-naco/1300545/,US$ 750/Mes,42564.825,Naco,2.0,2.5,"Naco, Santo Domingo Centro (D.N.), Santo Domingo",Santo Domingo Centro (D.N.),Santo Domingo,Segundo Uso,Residencial,130,2,1,No,2003,1/2 Ba�o-Agua Potable-Area Servicio Independiente-Ascensor-Cisterna-Cuarto de Servicio-Planta El�ctrica-Pozo-Seguridad 24 Horas,9,https://img.supercasas.com/AdsPhotos/800x600/0/9018745.jpg
