price,rooms,bathrooms,squarefootage,province,amountamenities
138125.0,2.0,2.5,145.0,Santo Domingo,12.0
29205.453094192213,3.0,2.5,135.0,Santo Domingo,9.0
138125.0,3.0,2.5,180.0,Santo Domingo,11.0
66300.0,1.0,2.0,70.0,Santo Domingo,14.0
60775.0,3.0,2.5,200.0,Santo Domingo,11.0
71825.0,3.0,2.5,130.0,Santo Domingo,2.0
66300.0,2.0,2.5,163.0,Santo Domingo,9.0
99450.0,4.0,4.5,325.0,Santo Domingo,15.0
66300.0,1.0,2.0,70.0,Santo Domingo,14.0
29205.453094192213,3.0,2.5,135.0,Santo Domingo,9.0
88400.0,3.0,2.5,147.0,Santo Domingo,8.0
41437.49999999999,2.0,2.5,130.0,Santo Domingo,9.0
99450.0,1.0,1.5,76.0,Santo Domingo,9.0
143650.0,2.0,2.5,116.0,Santo Domingo,24.0
193375.0,3.0,3.5,340.0,Santo Domingo,16.0
54697.5,1.0,1.0,71.0,Santo Domingo,15.0
66300.0,1.0,1.5,85.0,Santo Domingo,13.0
77349.99999999999,2.0,2.0,85.0,Santo Domingo,15.0
71825.0,1.0,1.5,78.0,Santo Domingo,15.0
99450.0,3.0,2.5,150.0,Santo Domingo,13.0
66300.0,1.0,1.5,85.0,Santo Domingo,17.0
88400.0,2.0,1.5,133.0,Santo Domingo,9.0
82874.99999999999,1.0,1.5,100.0,Santo Domingo,17.0
80112.49999999999,3.0,2.5,178.0,Santo Domingo,15.0
193375.0,3.0,3.5,170.0,Santo Domingo,19.0
99450.0,2.0,2.5,130.0,Santo Domingo,12.0
71825.0,1.0,1.5,85.0,Santo Domingo,8.0
138125.0,3.0,3.5,188.0,Santo Domingo,19.0
88400.0,2.0,2.0,118.0,Santo Domingo,16.0
66300.0,1.0,1.5,65.0,Santo Domingo,16.0
41437.49999999999,2.0,2.5,160.0,Santo Domingo,12.0
88400.0,3.0,3.5,148.0,Santo Domingo,20.0
93925.0,3.0,3.5,155.0,Santo Domingo,14.0
66300.0,1.0,2.0,61.0,Santo Domingo,5.0
60775.0,1.0,1.0,60.0,Santo Domingo,4.0
88400.0,1.0,2.0,90.0,Santo Domingo,7.0
60775.0,1.0,1.5,82.0,Santo Domingo,5.0
138125.0,2.0,2.5,145.0,Santo Domingo,4.0
71825.0,1.0,1.5,70.0,Santo Domingo,4.0
69062.5,1.0,1.5,74.0,Santo Domingo,3.0
77349.99999999999,1.0,2.0,76.0,Santo Domingo,8.0
77349.99999999999,1.0,2.0,70.0,Santo Domingo,7.0
74587.49999999999,1.0,2.0,71.0,Santo Domingo,10.0
66300.0,1.0,2.0,50.0,Santo Domingo,7.0
66300.0,1.0,1.5,68.0,Santo Domingo,7.0
121550.0,2.0,4.5,200.0,Santo Domingo,7.0
160224.99999999997,3.0,3.5,275.0,Santo Domingo,4.0
138125.0,3.0,3.5,250.0,Santo Domingo,11.0
77349.99999999999,2.0,2.5,120.0,La Altagracia,12.0
138125.0,2.0,2.5,145.0,Santo Domingo,9.0
93925.0,1.0,2.0,83.0,Santo Domingo,7.0
93925.0,3.0,3.0,177.0,Santo Domingo,5.0
49725.0,1.0,1.5,60.0,Santo Domingo,5.0
71825.0,3.0,2.5,175.0,Santo Domingo,5.0
44200.0,1.0,1.5,58.0,Santo Domingo,4.0
121550.0,3.0,2.5,165.0,Santo Domingo,18.0
66300.0,3.0,3.5,252.0,Santo Domingo,16.0
69062.5,2.0,2.5,137.0,Santo Domingo,11.0
69062.5,2.0,2.5,135.0,Santo Domingo,15.0
63537.5,1.0,1.5,63.0,Santo Domingo,11.0
77349.99999999999,1.0,1.5,80.0,Santo Domingo,12.0
182325.0,2.0,2.5,155.0,Santo Domingo,12.0
93925.0,1.0,1.5,76.0,Santo Domingo,11.0
52487.49999999999,1.0,1.5,66.0,Santo Domingo,8.0
74587.49999999999,2.0,2.5,150.0,Santo Domingo,7.0
85637.49999999999,1.0,1.5,70.0,Santo Domingo,10.0
82874.99999999999,1.0,1.5,86.0,Santo Domingo,12.0
34073.02860989091,3.0,2.5,132.0,Santiago de los Caballeros ,12.0
77349.99999999999,1.0,1.5,101.0,Santo Domingo,11.0
52487.49999999999,1.0,1.5,65.0,Santo Domingo,9.0
